INSERT INTO REVIEW VALUES (RNUMBER.nextval, 251, RNUMBER.currval, 0, 0, '리뷰1', 3, '1번째 리뷰', '2020-05-12', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 268, RNUMBER.currval, 0, 0, '리뷰13', 1, '13번째 리뷰', '2020-05-06', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 209, RNUMBER.currval, 0, 0, '리뷰14', 4, '14번째 리뷰', '2020-05-13', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 214, RNUMBER.currval, 0, 0, '리뷰15', 1, '15번째 리뷰', '2020-05-15', '리뷰봇', '40대 ↑', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 230, RNUMBER.currval, 0, 0, '리뷰16', 5, '16번째 리뷰', '2020-05-25', '리뷰봇', '10대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 250, RNUMBER.currval, 0, 0, '리뷰17', 2, '17번째 리뷰', '2020-05-15', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 200, RNUMBER.currval, 0, 0, '리뷰18', 3, '18번째 리뷰', '2020-05-22', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 270, RNUMBER.currval, 0, 0, '리뷰19', 3, '19번째 리뷰', '2020-05-02', '리뷰봇', '30대', '♂', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 232, RNUMBER.currval, 0, 0, '리뷰20', 5, '20번째 리뷰', '2020-05-06', '리뷰봇', '20대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 238, RNUMBER.currval, 0, 0, '리뷰21', 2, '21번째 리뷰', '2020-05-19', '리뷰봇', '40대 ↑', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 193, RNUMBER.currval, 0, 0, '리뷰22', 4, '22번째 리뷰', '2020-05-07', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 177, RNUMBER.currval, 0, 0, '리뷰23', 1, '23번째 리뷰', '2020-05-18', '리뷰봇', '30대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 266, RNUMBER.currval, 0, 0, '리뷰24', 4, '24번째 리뷰', '2020-05-19', '리뷰봇', '40대 ↑', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 239, RNUMBER.currval, 0, 0, '리뷰25', 3, '25번째 리뷰', '2020-05-12', '리뷰봇', '30대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 187, RNUMBER.currval, 0, 0, '리뷰26', 5, '26번째 리뷰', '2020-05-14', '리뷰봇', '40대 ↑', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 246, RNUMBER.currval, 0, 0, '리뷰27', 3, '27번째 리뷰', '2020-05-22', '리뷰봇', '20대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 266, RNUMBER.currval, 0, 0, '리뷰28', 5, '28번째 리뷰', '2020-05-04', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 244, RNUMBER.currval, 0, 0, '리뷰29', 3, '29번째 리뷰', '2020-05-20', '리뷰봇', '10대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 167, RNUMBER.currval, 0, 0, '리뷰30', 4, '30번째 리뷰', '2020-05-14', '리뷰봇', '20대', '♀', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 156, RNUMBER.currval, 0, 0, '리뷰31', 4, '31번째 리뷰', '2020-05-03', '리뷰봇', '40대 ↑', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 201, RNUMBER.currval, 0, 0, '리뷰32', 3, '32번째 리뷰', '2020-04-29', '리뷰봇', '40대 ↑', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 269, RNUMBER.currval, 0, 0, '리뷰33', 4, '33번째 리뷰', '2020-05-05', '리뷰봇', '30대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 244, RNUMBER.currval, 0, 0, '리뷰34', 3, '34번째 리뷰', '2020-05-04', '리뷰봇', '30대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 276, RNUMBER.currval, 0, 0, '리뷰35', 1, '35번째 리뷰', '2020-04-30', '리뷰봇', '10대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 164, RNUMBER.currval, 0, 0, '리뷰36', 1, '36번째 리뷰', '2020-05-07', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 161, RNUMBER.currval, 0, 0, '리뷰37', 1, '37번째 리뷰', '2020-05-03', '리뷰봇', '40대 ↑', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 215, RNUMBER.currval, 0, 0, '리뷰38', 4, '38번째 리뷰', '2020-05-22', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 270, RNUMBER.currval, 0, 0, '리뷰39', 4, '39번째 리뷰', '2020-05-20', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 167, RNUMBER.currval, 0, 0, '리뷰40', 5, '40번째 리뷰', '2020-04-30', '리뷰봇', '30대', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 144, RNUMBER.currval, 0, 0, '리뷰41', 4, '41번째 리뷰', '2020-05-06', '리뷰봇', '30대', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 243, RNUMBER.currval, 0, 0, '리뷰42', 1, '42번째 리뷰', '2020-04-27', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 179, RNUMBER.currval, 0, 0, '리뷰43', 1, '43번째 리뷰', '2020-05-24', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 168, RNUMBER.currval, 0, 0, '리뷰44', 3, '44번째 리뷰', '2020-05-02', '리뷰봇', '20대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 264, RNUMBER.currval, 0, 0, '리뷰45', 1, '45번째 리뷰', '2020-04-30', '리뷰봇', '30대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 208, RNUMBER.currval, 0, 0, '리뷰46', 5, '46번째 리뷰', '2020-05-05', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 222, RNUMBER.currval, 0, 0, '리뷰47', 4, '47번째 리뷰', '2020-05-25', '리뷰봇', '10대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 183, RNUMBER.currval, 0, 0, '리뷰48', 5, '48번째 리뷰', '2020-04-26', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 195, RNUMBER.currval, 0, 0, '리뷰49', 2, '49번째 리뷰', '2020-05-20', '리뷰봇', '30대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 230, RNUMBER.currval, 0, 0, '리뷰50', 5, '50번째 리뷰', '2020-05-02', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 182, RNUMBER.currval, 0, 0, '리뷰51', 4, '51번째 리뷰', '2020-05-07', '리뷰봇', '30대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 218, RNUMBER.currval, 0, 0, '리뷰52', 5, '52번째 리뷰', '2020-05-19', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 238, RNUMBER.currval, 0, 0, '리뷰53', 1, '53번째 리뷰', '2020-04-30', '리뷰봇', '20대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 222, RNUMBER.currval, 0, 0, '리뷰54', 1, '54번째 리뷰', '2020-04-27', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 189, RNUMBER.currval, 0, 0, '리뷰55', 1, '55번째 리뷰', '2020-05-08', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 249, RNUMBER.currval, 0, 0, '리뷰56', 1, '56번째 리뷰', '2020-05-15', '리뷰봇', '30대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 170, RNUMBER.currval, 0, 0, '리뷰57', 1, '57번째 리뷰', '2020-05-16', '리뷰봇', '20대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 167, RNUMBER.currval, 0, 0, '리뷰58', 5, '58번째 리뷰', '2020-05-20', '리뷰봇', '30대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 144, RNUMBER.currval, 0, 0, '리뷰59', 3, '59번째 리뷰', '2020-05-24', '리뷰봇', '10대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 258, RNUMBER.currval, 0, 0, '리뷰60', 5, '60번째 리뷰', '2020-05-14', '리뷰봇', '40대 ↑', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 182, RNUMBER.currval, 0, 0, '리뷰61', 3, '61번째 리뷰', '2020-05-15', '리뷰봇', '20대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 256, RNUMBER.currval, 0, 0, '리뷰62', 3, '62번째 리뷰', '2020-05-11', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 276, RNUMBER.currval, 0, 0, '리뷰63', 4, '63번째 리뷰', '2020-05-09', '리뷰봇', '40대 ↑', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 148, RNUMBER.currval, 0, 0, '리뷰64', 5, '64번째 리뷰', '2020-05-15', '리뷰봇', '30대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 221, RNUMBER.currval, 0, 0, '리뷰65', 5, '65번째 리뷰', '2020-04-27', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 251, RNUMBER.currval, 0, 0, '리뷰66', 2, '66번째 리뷰', '2020-05-16', '리뷰봇', '40대 ↑', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 278, RNUMBER.currval, 0, 0, '리뷰67', 3, '67번째 리뷰', '2020-05-08', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 151, RNUMBER.currval, 0, 0, '리뷰68', 1, '68번째 리뷰', '2020-05-13', '리뷰봇', '40대 ↑', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 178, RNUMBER.currval, 0, 0, '리뷰69', 2, '69번째 리뷰', '2020-05-24', '리뷰봇', '40대 ↑', '♂', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 234, RNUMBER.currval, 0, 0, '리뷰70', 3, '70번째 리뷰', '2020-05-19', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 249, RNUMBER.currval, 0, 0, '리뷰71', 5, '71번째 리뷰', '2020-05-08', '리뷰봇', '30대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 248, RNUMBER.currval, 0, 0, '리뷰72', 3, '72번째 리뷰', '2020-04-27', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 234, RNUMBER.currval, 0, 0, '리뷰73', 1, '73번째 리뷰', '2020-05-12', '리뷰봇', '20대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 175, RNUMBER.currval, 0, 0, '리뷰74', 3, '74번째 리뷰', '2020-04-30', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 175, RNUMBER.currval, 0, 0, '리뷰75', 2, '75번째 리뷰', '2020-05-02', '리뷰봇', '30대', '♂', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 184, RNUMBER.currval, 0, 0, '리뷰76', 2, '76번째 리뷰', '2020-05-21', '리뷰봇', '30대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 220, RNUMBER.currval, 0, 0, '리뷰77', 2, '77번째 리뷰', '2020-05-21', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 220, RNUMBER.currval, 0, 0, '리뷰78', 2, '78번째 리뷰', '2020-05-06', '리뷰봇', '20대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 239, RNUMBER.currval, 0, 0, '리뷰79', 1, '79번째 리뷰', '2020-05-18', '리뷰봇', '20대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 236, RNUMBER.currval, 0, 0, '리뷰80', 1, '80번째 리뷰', '2020-05-05', '리뷰봇', '40대 ↑', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 250, RNUMBER.currval, 0, 0, '리뷰81', 1, '81번째 리뷰', '2020-05-01', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 234, RNUMBER.currval, 0, 0, '리뷰82', 4, '82번째 리뷰', '2020-05-01', '리뷰봇', '30대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 214, RNUMBER.currval, 0, 0, '리뷰83', 1, '83번째 리뷰', '2020-05-10', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 241, RNUMBER.currval, 0, 0, '리뷰84', 4, '84번째 리뷰', '2020-05-06', '리뷰봇', '30대', '♀', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 257, RNUMBER.currval, 0, 0, '리뷰85', 1, '85번째 리뷰', '2020-05-23', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 172, RNUMBER.currval, 0, 0, '리뷰86', 4, '86번째 리뷰', '2020-04-26', '리뷰봇', '20대', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 241, RNUMBER.currval, 0, 0, '리뷰87', 3, '87번째 리뷰', '2020-04-26', '리뷰봇', '10대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 236, RNUMBER.currval, 0, 0, '리뷰88', 2, '88번째 리뷰', '2020-05-11', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 244, RNUMBER.currval, 0, 0, '리뷰89', 5, '89번째 리뷰', '2020-05-04', '리뷰봇', '10대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 204, RNUMBER.currval, 0, 0, '리뷰90', 5, '90번째 리뷰', '2020-05-25', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 247, RNUMBER.currval, 0, 0, '리뷰91', 2, '91번째 리뷰', '2020-04-26', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 241, RNUMBER.currval, 0, 0, '리뷰92', 1, '92번째 리뷰', '2020-05-02', '리뷰봇', '20대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 198, RNUMBER.currval, 0, 0, '리뷰93', 5, '93번째 리뷰', '2020-05-24', '리뷰봇', '10대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 235, RNUMBER.currval, 0, 0, '리뷰94', 2, '94번째 리뷰', '2020-05-11', '리뷰봇', '40대 ↑', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 194, RNUMBER.currval, 0, 0, '리뷰95', 2, '95번째 리뷰', '2020-05-05', '리뷰봇', '20대', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 195, RNUMBER.currval, 0, 0, '리뷰96', 5, '96번째 리뷰', '2020-04-27', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 163, RNUMBER.currval, 0, 0, '리뷰97', 5, '97번째 리뷰', '2020-05-19', '리뷰봇', '40대 ↑', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 188, RNUMBER.currval, 0, 0, '리뷰98', 4, '98번째 리뷰', '2020-04-29', '리뷰봇', '20대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 221, RNUMBER.currval, 0, 0, '리뷰99', 1, '99번째 리뷰', '2020-05-21', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 273, RNUMBER.currval, 0, 0, '리뷰100', 1, '100번째 리뷰', '2020-05-21', '리뷰봇', '40대 ↑', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 186, RNUMBER.currval, 0, 0, '리뷰101', 3, '101번째 리뷰', '2020-05-25', '리뷰봇', '30대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 276, RNUMBER.currval, 0, 0, '리뷰102', 4, '102번째 리뷰', '2020-05-07', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 174, RNUMBER.currval, 0, 0, '리뷰103', 3, '103번째 리뷰', '2020-05-25', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 257, RNUMBER.currval, 0, 0, '리뷰104', 3, '104번째 리뷰', '2020-05-24', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 188, RNUMBER.currval, 0, 0, '리뷰105', 3, '105번째 리뷰', '2020-04-26', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 189, RNUMBER.currval, 0, 0, '리뷰106', 2, '106번째 리뷰', '2020-05-06', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 168, RNUMBER.currval, 0, 0, '리뷰107', 5, '107번째 리뷰', '2020-05-02', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 263, RNUMBER.currval, 0, 0, '리뷰108', 4, '108번째 리뷰', '2020-05-08', '리뷰봇', '30대', '♀', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 241, RNUMBER.currval, 0, 0, '리뷰109', 4, '109번째 리뷰', '2020-05-03', '리뷰봇', '30대', '♂', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 206, RNUMBER.currval, 0, 0, '리뷰110', 3, '110번째 리뷰', '2020-05-12', '리뷰봇', '10대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 216, RNUMBER.currval, 0, 0, '리뷰111', 2, '111번째 리뷰', '2020-05-10', '리뷰봇', '20대', '♀', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 165, RNUMBER.currval, 0, 0, '리뷰112', 1, '112번째 리뷰', '2020-05-07', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 168, RNUMBER.currval, 0, 0, '리뷰113', 3, '113번째 리뷰', '2020-05-03', '리뷰봇', '40대 ↑', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 220, RNUMBER.currval, 0, 0, '리뷰114', 4, '114번째 리뷰', '2020-05-09', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 224, RNUMBER.currval, 0, 0, '리뷰115', 5, '115번째 리뷰', '2020-05-21', '리뷰봇', '20대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 275, RNUMBER.currval, 0, 0, '리뷰116', 5, '116번째 리뷰', '2020-05-19', '리뷰봇', '20대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 187, RNUMBER.currval, 0, 0, '리뷰117', 2, '117번째 리뷰', '2020-04-30', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 153, RNUMBER.currval, 0, 0, '리뷰118', 4, '118번째 리뷰', '2020-05-01', '리뷰봇', '20대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 265, RNUMBER.currval, 0, 0, '리뷰119', 4, '119번째 리뷰', '2020-05-08', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 259, RNUMBER.currval, 0, 0, '리뷰120', 1, '120번째 리뷰', '2020-05-23', '리뷰봇', '30대', '♂', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 173, RNUMBER.currval, 0, 0, '리뷰121', 2, '121번째 리뷰', '2020-05-06', '리뷰봇', '10대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 243, RNUMBER.currval, 0, 0, '리뷰122', 5, '122번째 리뷰', '2020-05-07', '리뷰봇', '10대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 231, RNUMBER.currval, 0, 0, '리뷰123', 4, '123번째 리뷰', '2020-05-12', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 264, RNUMBER.currval, 0, 0, '리뷰124', 1, '124번째 리뷰', '2020-04-27', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 241, RNUMBER.currval, 0, 0, '리뷰125', 2, '125번째 리뷰', '2020-05-23', '리뷰봇', '20대', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 188, RNUMBER.currval, 0, 0, '리뷰126', 2, '126번째 리뷰', '2020-05-21', '리뷰봇', '40대 ↑', '♂', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 183, RNUMBER.currval, 0, 0, '리뷰127', 5, '127번째 리뷰', '2020-05-20', '리뷰봇', '40대 ↑', '♀', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 278, RNUMBER.currval, 0, 0, '리뷰128', 5, '128번째 리뷰', '2020-05-22', '리뷰봇', '40대 ↑', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 229, RNUMBER.currval, 0, 0, '리뷰129', 3, '129번째 리뷰', '2020-05-07', '리뷰봇', '20대', '♂', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 274, RNUMBER.currval, 0, 0, '리뷰130', 2, '130번째 리뷰', '2020-04-29', '리뷰봇', '30대', '♂', '건성', 0, 0, 0);
